date,time,home_team,away_team,venue,stadium_details
20250412,10:00 am,Nottingham Forest,Everton,The City Ground,Nottingham
20250412,10:00 am,Wolverhampton,Tottenham Hotspur,Molineux,Wolverhampton
20250412,10:00 am,Brighton & Hove Albion,Leicester City,American Express Community Stadium,Brighton
20250412,10:00 am,Bournemouth,Fulham,Vitality Stadium,Bournemouth
20250419,10:00 am,Aston Villa,Newcastle United,Villa Park,Birmingham
20250419,10:00 am,Everton,Manchester City,Goodison Park,Liverpool
20250419,10:00 am,Ipswich Town,Arsenal,Portman Road,Ipswich
20250419,10:00 am,Leicester City,Liverpool,King Power Stadium,Leicester
20250419,10:00 am,Manchester United,Wolverhampton,Old Trafford,Manchester
20250419,10:00 am,Tottenham Hotspur,Nottingham Forest,Tottenham Hotspur Stadium,London
20250419,10:00 am,West Ham United,Southampton,London Stadium,London
20250419,10:00 am,Crystal Palace,Bournemouth,Selhurst Park,London
20250419,10:00 am,Fulham,Chelsea,Craven Cottage,London
20250419,10:00 am,Brentford,Brighton & Hove Albion,Gtech Community Stadium,London
20250426,10:00 am,Arsenal,Crystal Palace,Emirates Stadium,London
20250426,10:00 am,Chelsea,Everton,Stamford Bridge,London
20250426,10:00 am,Liverpool,Tottenham Hotspur,Anfield,Liverpool
20250426,10:00 am,Manchester City,Aston Villa,Etihad Stadium,Manchester
20250426,10:00 am,Newcastle United,Ipswich Town,St. James' Park,Newcastle upon Tyne
20250426,10:00 am,Southampton,Fulham,St. Mary's Stadium,Southampton
20250426,10:00 am,Nottingham Forest,Brentford,The City Ground,Nottingham
20250426,10:00 am,Wolverhampton,Leicester City,Molineux,Wolverhampton
20250426,10:00 am,Brighton & Hove Albion,West Ham United,American Express Community Stadium,Brighton
20250426,10:00 am,Bournemouth,Manchester United,Vitality Stadium,Bournemouth
20250503,10:00 am,Arsenal,Bournemouth,Emirates Stadium,London
20250503,10:00 am,Aston Villa,Fulham,Villa Park,Birmingham
20250503,10:00 am,Chelsea,Liverpool,Stamford Bridge,London
20250503,10:00 am,Everton,Ipswich Town,Goodison Park,Liverpool
20250503,10:00 am,Leicester City,Southampton,King Power Stadium,Leicester
